epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,54.6937,1.14409,1.51311,0.00561,1,0.74367,0.93976,0.65776,1.16856,1.87413,0.00584,0.000614,0.000614,0.000614
44,55.7298,1.11909,1.23777,0.00497,0.83056,0.81809,0.91867,0.66273,1.12227,1.85479,0.00572,0.000581,0.000581,0.000581
45,56.7504,1.1906,1.34359,0.00507,0.9977,0.66667,0.9129,0.66399,1.10978,1.83831,0.00564,0.000548,0.000548,0.000548
46,57.7743,1.12517,1.29454,0.00555,1,0.69653,0.9209,0.68185,1.11515,1.81121,0.00551,0.000515,0.000515,0.000515
47,58.8096,1.21604,1.27797,0.00476,1,0.78412,0.93605,0.70128,1.09011,1.77588,0.00528,0.000482,0.000482,0.000482
48,59.8499,1.06041,1.33272,0.00587,0.89615,0.83333,0.94794,0.69089,1.1119,1.74497,0.00544,0.000449,0.000449,0.000449
49,60.8586,1.11338,1.21658,0.00511,1,0.82514,0.94794,0.68301,1.13866,1.74471,0.00566,0.000416,0.000416,0.000416
50,61.8833,1.05999,1.28161,0.00617,0.83895,0.86982,0.95451,0.66929,1.19591,1.75624,0.00601,0.000383,0.000383,0.000383
51,63.8523,1.08855,1.65624,0.00615,0.83376,0.83613,0.93997,0.64421,1.23896,1.75444,0.00631,0.00035,0.00035,0.00035
52,64.878,1.05594,1.5687,0.0052,0.7039,1,0.923,0.64878,1.25924,1.78972,0.00663,0.000317,0.000317,0.000317
53,65.8836,1.04551,1.61531,0.00521,0.70569,1,0.923,0.64794,1.28937,1.76312,0.00683,0.000284,0.000284,0.000284
54,66.8957,1.05174,1.54089,0.00624,0.7955,0.97377,0.944,0.63049,1.246,1.76351,0.00682,0.000251,0.000251,0.000251
55,67.9248,1.05658,1.55401,0.00498,0.84378,0.90126,0.94123,0.62988,1.24458,1.73982,0.00681,0.000218,0.000218,0.000218
56,68.9484,1.04821,1.52255,0.00543,0.85408,0.97676,0.94942,0.6528,1.20878,1.70731,0.00663,0.000185,0.000185,0.000185
57,69.949,1.00286,1.55045,0.00543,0.85337,0.9714,0.94942,0.64581,1.23035,1.67156,0.00665,0.000152,0.000152,0.000152
58,70.9724,1.0376,1.53301,0.00591,0.8524,0.964,0.96274,0.66369,1.21398,1.63964,0.00657,0.000119,0.000119,0.000119
59,71.9853,0.99558,1.50608,0.00474,0.8545,0.97998,0.96274,0.67239,1.19862,1.67669,0.00646,8.6e-05,8.6e-05,8.6e-05
60,73.0387,1.01794,1.45399,0.00498,0.85188,1,0.95607,0.66542,1.18262,1.66159,0.00642,5.3e-05,5.3e-05,5.3e-05
