epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,39.3421,0.87556,2.28458,0.00817,0.69415,0.85714,0.89467,0.65278,1.06153,3.44713,0.01299,0.000614,0.000614,0.000614
44,40.0564,0.80894,2.07294,0.00732,0.77393,0.98019,0.90944,0.70441,0.97565,3.30908,0.0117,0.000581,0.000581,0.000581
45,40.7599,0.86458,2.36195,0.00803,0.87395,0.99161,0.96,0.75576,0.93948,3.21129,0.01172,0.000548,0.000548,0.000548
46,41.4772,0.8551,2.26295,0.00704,0.84672,1,0.96,0.75382,0.92068,3.12997,0.01169,0.000515,0.000515,0.000515
47,42.2045,0.85247,2.0678,0.00719,0.84843,1,0.96,0.77445,0.89114,3.07944,0.0118,0.000482,0.000482,0.000482
48,42.9035,0.82254,2.1286,0.00679,0.86163,1,0.96,0.78716,0.89189,3.05794,0.01233,0.000449,0.000449,0.000449
49,43.6517,0.82102,2.11442,0.0077,0.86704,1,0.96,0.75603,0.89906,3.04277,0.01254,0.000416,0.000416,0.000416
50,44.3628,0.78052,1.8947,0.00675,0.87279,0.98231,0.96,0.78202,0.89844,3.01161,0.01233,0.000383,0.000383,0.000383
51,46.0105,0.74369,3.38953,0.00819,0.84635,1,0.96,0.76681,0.90679,2.98051,0.01213,0.00035,0.00035,0.00035
52,46.7431,0.6442,3.30271,0.00716,0.86861,0.94884,0.96,0.78254,0.95982,2.98543,0.01284,0.000317,0.000317,0.000317
53,47.4445,0.65187,3.21245,0.00707,0.87395,0.99156,0.96,0.75411,0.99653,2.97154,0.01329,0.000284,0.000284,0.000284
54,48.1494,0.66982,3.21035,0.0069,0.83978,1,0.9775,0.75957,1.01413,2.94966,0.01357,0.000251,0.000251,0.000251
55,48.8445,0.73513,3.26125,0.00878,0.94518,1,0.995,0.76314,1.02347,2.92831,0.01355,0.000218,0.000218,0.000218
56,49.567,0.72187,3.21086,0.00785,0.95527,1,0.995,0.76125,1.00834,2.90031,0.01311,0.000185,0.000185,0.000185
57,50.2756,0.72847,3.19797,0.00839,0.96287,1,0.995,0.75404,0.97427,2.86854,0.01237,0.000152,0.000152,0.000152
58,50.9757,0.68727,3.18625,0.00726,0.97269,1,0.995,0.7645,0.94339,2.84084,0.0115,0.000119,0.000119,0.000119
59,51.6974,0.69563,3.18143,0.00761,0.97641,1,0.995,0.77665,0.91829,2.82141,0.01112,8.6e-05,8.6e-05,8.6e-05
60,52.4244,0.69061,3.14249,0.00691,0.97267,1,0.995,0.77671,0.91234,2.81602,0.01104,5.3e-05,5.3e-05,5.3e-05
