epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,46.7377,1.12459,2.28519,0.00509,0.99696,0.77778,0.95528,0.68575,1.15702,2.689,0.00625,0.000581,0.000581,0.000581
45,47.5696,1.08135,2.13366,0.00537,1,0.88206,0.975,0.67826,1.12052,2.60825,0.00609,0.000548,0.000548,0.000548
46,48.382,1.18375,1.99243,0.00543,0.89862,0.98616,0.984,0.69898,1.1125,2.5609,0.00617,0.000515,0.000515,0.000515
47,49.1884,1.10761,2.13308,0.00631,0.88737,1,0.984,0.70024,1.11608,2.52122,0.00616,0.000482,0.000482,0.000482
48,50.0165,1.20032,2.14831,0.00546,1,0.99051,0.995,0.725,1.09,2.46826,0.00625,0.000449,0.000449,0.000449
49,50.8222,1.10307,2.0667,0.00495,1,0.98406,0.995,0.72967,1.0658,2.44117,0.00627,0.000416,0.000416,0.000416
50,51.6402,1.09244,2.23443,0.00486,1,0.98386,0.995,0.71595,1.08183,2.43946,0.00643,0.000383,0.000383,0.000383
51,53.4481,1.073,2.92679,0.00566,1,0.97915,0.995,0.68188,1.0939,2.43077,0.00666,0.00035,0.00035,0.00035
52,54.3047,1.05411,2.84329,0.00568,1,0.97336,0.995,0.68053,1.10163,2.44132,0.00677,0.000317,0.000317,0.000317
53,55.0893,1.13187,2.91176,0.00676,1,0.88393,0.984,0.6663,1.11242,2.42968,0.00671,0.000284,0.000284,0.000284
54,55.8881,1.04889,2.72171,0.00501,1,0.94901,0.995,0.68202,1.13701,2.43211,0.00661,0.000251,0.000251,0.000251
55,56.6889,1.05513,2.70053,0.00571,1,0.93857,0.995,0.68167,1.12569,2.42021,0.00636,0.000218,0.000218,0.000218
56,57.5042,1.02257,2.73214,0.00472,1,0.99853,0.995,0.68265,1.13921,2.36712,0.00609,0.000185,0.000185,0.000185
57,58.3214,1.0174,2.70236,0.00516,0.97878,1,0.995,0.68266,1.13827,2.35277,0.006,0.000152,0.000152,0.000152
58,59.1303,1.01944,2.66679,0.00522,0.98469,1,0.995,0.68266,1.13353,2.33958,0.00591,0.000119,0.000119,0.000119
59,59.9464,0.95631,2.62999,0.00485,0.97296,1,0.995,0.69415,1.14533,2.33617,0.00584,8.6e-05,8.6e-05,8.6e-05
60,60.7946,1.00264,2.66938,0.00507,0.9621,1,0.995,0.69605,1.14929,2.32537,0.00584,5.3e-05,5.3e-05,5.3e-05
